FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,Status
0.0,0.0,0.0,0.09263157894736843,1.0,1.0,0.25,0.2,0.636347621843805,0.0333012040577695,0.0,0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.06315789473684211,1.0,0.25,0.25,0.2,0.486729301233118,0.014742597098884435,0.0,1.0,1.0,0.0,0.0,0
1.0,0.0,0.5,0.2894736842105263,0.0,1.0,0.25,0.2,0.6071638285378743,0.019793740585068845,0.0,0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,0.07894736842105263,0.5,0.5,0.25,0.2,0.6216676453317674,0.026077384150259675,0.0,0.0,0.0,0.0,0.0,0
1.0,0.0,0.5,0.18421052631578946,1.0,1.0,0.25,0.2,0.5347034644744568,0.028142085137313155,0.0,0.0,0.0,0.0,1.0,0
1.0,1.0,0.0,0.2631578947368421,1.0,0.25,0.25,0.2,0.6128596594245449,0.022474691611625536,0.0,1.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.02631578947368421,1.0,1.0,0.25,0.2,0.8076335877862595,0.03716198421978532,0.0,0.0,1.0,0.0,0.0,0
1.0,1.0,0.0,0.17894736842105263,1.0,1.0,0.25,0.2,0.5627128596594245,0.02940618778244794,0.0,1.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.02631578947368421,1.0,1.0,0.0,0.2,0.6602466236054022,0.028063078721992228,0.0,1.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.02631578947368421,1.0,1.0,0.25,0.2,0.5729888432178508,0.03577937195166915,0.0,1.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.10526315789473684,0.0,1.0,0.25,1.0,0.820669406928949,0.031739510581592564,0.0,0.0,0.0,0.0,0.0,0
